G. Annual Student Expenses
 , ,Domestic , , , , , , , ,International
 , ,Tuition Fees,Ancillary Fees,Room and Board (on-campus),Room only (on-campus),Board only (on-campus meal plan),Books and Supplies,Transportation (off-campus),Other Expenses,Tuition Fees ,Ancillary Fees,Room and Board (on-campus),Room only (on-campus),Board only (on-campus meal plan),Books and Supplies,Transportation (off-campus),Other Expenses
 ,2018-2019,6444.30 ,1043.72 ,11136.00 ,6507.50 ,100.00 ,1500.00 , ,1700.00 ,23500.00 ,1051.00 ,11136.00 ,6507.50 ,100.00 ,1500.00 , ,1700.00
 ,2017-2018,6287.20 ,1035.36 ,10867.50 ,6371.50 ,100.00 ,1500.00 , ,1700.00 ,22500.00 ,1042.36 ,10867.50 ,6371.50 ,100.00 ,1500.00 , ,1700.00
 ,2016-2017,6133.90 ,1005.98 ,10940.00 ,6246.50 ,100.00 ,1500.00 , ,1700.00 ,21500.00 ,1012.98 ,10940.00 ,6246.50 ,100.00 ,1500.00 , ,1700.00
 ,2011-2012,5318.10 ,799.02 ,9025.00 , , ,1300.00 ,445.00 ,1700.00 ,15590.00 ,799.02 ,9025.00 , , ,1300.00 ,445.00 ,1700.00
 ,2009-2010,5090.00 ,774.96 ,9185.50 , , ,1300.00 ,445.00 ,1700.00 ,14850.00 ,774.96 ,9185.50 , , ,1300.00 ,445.00 ,1700.00
Western - Brescia University College,2023-2024, , , , , , , , , , , , , , , ,
 ,2021-2022,6050.00 ,1515.72 ,13020.00 ,8570.00 ,4450.00 ,1266.00 ,765.00 , ,33526.00 ,1515.72 ,13020.00 ,8570.00 ,4450.00 ,1266.00 ,765.00 ,
 ,2020-2021,6050.00 ,1515.72 ,12890.00 ,8570.00 ,4320.00 ,1266.00 ,765.00 , ,33526.00 ,1515.72 ,12890.00 ,8570.00 ,4320.00 ,1266.00 ,765.00 ,
 ,2018-2019,6723.00 ,1461.70 ,12175.00 , , ,750.00 , , ,28743.00 ,1461.70 ,12175.00 , , ,750.00 , ,
 ,2017-2018,6528.00 ,1534.59 ,11600.00 , , ,1250.00 , ,750.00 ,26614.00 ,2521.59 ,11600.00 , , ,1250.00 , ,750.00
 ,2016-2017,6338.00 ,1397.15 ,11300.00 ,7500.00 ,3800.00 ,1000.00 , ,750.00 ,24246.43 ,1397.15 ,11300.00 ,7500.00 ,3800.00 ,1000.00 , ,750.00
 ,2011-2012,5391.00 ,1147.29 ,7474.00 ,4774.00 ,2700.00 ,1500.00 ,700.00 ,2550.00 ,16771.00 ,1147.00 ,7474.00 ,4774.00 ,2700.00 ,1500.00 ,1500.00 ,3434.00
 ,2009-2010,5159.00 ,1075.35 ,7474.00 , , ,1400.00 ,700.00 ,1800.00 ,15530.00 ,1795.35 ,7474.00 , , ,1400.00 ,700.00 ,180.00
Western - Huron University College ,2023-2024, , ,16833.00 ,11043.00 ,5790.00 ,850.00 ,289.00 , , , ,16833.00 ,11043.00 ,5790.00 ,850.00 ,289.00 ,
 ,2022-2023,6050.00 ,2245.64 ,16176.00 ,10726.00 ,5450.00 ,1500.00 ,287.20 , ,39105.00 ,3726.64 ,16176.00 ,10726.00 ,5450.00 ,1500.00 ,287.20 ,
 ,2021-2022,6050.00 ,2147.83 , ,8701.50 ,4976.00 , , , ,41456.00 ,3253.83 , ,8701.50 ,4976.00 , , ,
 ,2020-2021,6050.00 ,2030.00 , ,8604.00 ,4595.00 , , , ,34827.00 ,2996.00 , ,8604.00 ,4595.00 , , ,
 ,2019-2020,6050.00 ,975.41 ,11965.00 ,7370.00 ,4595.00 ,1500.00 , , ,31042.00 ,1611.41 ,11965.00 ,7370.00 ,4595.00 ,1500.00 , ,
 ,2018-2019,6723.00 ,1783.16 ,11263.42 ,7835.00 ,3428.43 , , ,131.00 ,29069.00 ,2357.16 ,11263.42 ,7835.00 ,3428.43 , , ,131.00
 ,2017-2018,6338.00 ,1736.00 , , , , , , ,24643.00 ,2348.00 , , , , , ,
 ,2016-2017,6338.00 ,1736.04 ,12693.50 ,8098.50 ,4595.00 ,1678.00 , , ,26063.00 ,2348.04 ,12693.50 ,8098.50 ,4595.00 ,1678.00 , ,
 ,2011-2012,5390.71 ,1319.00 ,9785.00 ,6710.00 ,3075.00 , , , ,16770.00 ,2714.00 ,9785.00 ,6710.00 ,3075.00 , , ,
 ,2009-2010,5159.00 ,1220.00 , ,5866.00 ,2990.00 , , , ,15528.00 ,2650.00 , ,5866.00 ,2990.00 , , ,
Western - King's University College ,2023-2024, , ,13022.00 ,8401.00 ,4621.00 ,800.00 ,288.25 , , , ,13022.00 ,8401.00 ,4621.00 ,800.00 ,288.25 ,
 ,2021-2022,6050.00 ,1727.60 ,14243.00 , , ,700.00 , , ,36208.00 ,2483.65 ,14243.00 , , ,700.00 , ,
 ,2020-2021,6137.67 ,1790.33 ,13500.00 , , ,700.00 , , ,35669.67 ,1790.33 ,13500.00 , , ,700.00 , ,
 ,2019-2020,6050.70 ,1567.00 , ,6705.00 ,4725.00 , , ,122.00 ,34826.50 ,2203.00 , ,6705.00 ,4725.00 , , ,122.00
 ,2018-2019,6723.00 ,1573.00 , ,6510.00 ,4600.00 , , ,122.00 ,31609.00 ,2191.00 , ,6510.00 ,4600.00 , , ,122.00
 ,2017-2018,6559.00 ,1537.05 , ,6314.00 ,4400.00 , , ,124.00 ,26614.00 ,2149.05 , ,6314.00 ,4400.00 , , ,124.00
 ,2016-2017,6183.00 ,1521.33 ,9799.00 ,5965.00 ,3792.00 , , ,42.00 ,23415.00 ,2133.33 ,9799.00 ,5965.00 ,3792.00 , , ,42.00
 ,2011-2012,5414.00 ,1200.00 ,8243.00 , , , , , ,17211.00 ,1200.00 ,8243.00 , , , , ,720.00
Western - Main Campus ,2023-2024, , ,17086.00 ,9950.00 ,6650.00 ,1178.00 ,288.25 ,1648.74 , , ,17086.00 ,9950.00 ,6650.00 ,1178.00 ,288.25 ,2404.74
 ,2022-2023,6050.00 ,1556.53 ,16325.00 ,10075.00 ,6250.00 ,2250.00 , , ,39105.00 ,1556.53 ,16325.00 ,10075.00 ,6250.00 ,2250.00 , ,
 ,2021-2022,6050.00 ,1542.05 ,15550.00 ,9335.00 ,1850.00 ,2250.00 , , ,36208.00 ,1542.05 ,15550.00 ,9335.00 ,1850.00 ,2250.00 , ,
 ,2020-2021,6050.00 ,1392.91 ,14705.00 ,9040.00 ,1850.00 ,2250.00 , , ,33526.00 ,1392.91 ,14705.00 ,9040.00 ,1850.00 ,2250.00 , ,
 ,2019-2020,6050.00 ,1467.70 ,13980.00 ,8755.00 ,5800.00 ,1500.00 ,500.00 , ,31042.00 ,1467.70 ,13980.00 ,8755.00 ,5800.00 ,1500.00 ,500.00 ,
 ,2018-2019,6723.00 ,1389.45 ,13800.00 ,8480.00 ,5350.00 ,1050.00 ,500.00 , ,28743.00 ,1389.45 ,13800.00 ,8480.00 ,5350.00 ,1050.00 ,500.00 ,
 ,2017-2018,6528.00 ,1349.58 ,13555.00 ,8315.00 ,5095.00 ,1026.00 ,500.00 , ,26614.00 ,1349.58 ,13555.00 ,8315.00 ,5095.00 ,1026.00 ,500.00 ,
 ,2016-2017,6338.00 ,1473.10 ,12845.00 ,8240.00 ,2400.00 ,1526.00 ,500.00 , ,24643.00 ,1473.10 ,12845.00 ,8240.00 ,2400.00 ,1526.00 ,500.00 ,612.00
 ,2011-2012,5391.00 ,1044.80 ,8860.00 ,6510.00 ,2060.00 ,1500.00 ,237.50 , ,16771.00 ,1044.80 ,8860.00 ,6510.00 ,2060.00 ,1500.00 ,237.50 ,
 ,2009-2010,5159.00 ,943.80 , ,6665.00 ,1955.00 ,1500.00 ,237.50 , ,15530.00 ,943.80 , ,6665.00 ,1955.00 ,1500.00 ,237.50 ,
Wilfrid Laurier University ,2023-2024, , ,15292.00 ,8744.00 ,6548.00 ,1500.00 ,700.00 ,3200.00 , , ,15292.00 ,8744.00 ,6548.00 ,1500.00 ,700.00 ,3200.00
 ,2022-2023,6058.92 ,1328.71 ,13823.00 ,7699.50 ,6123.50 ,1200.00 ,700.00 ,3200.00 ,30715.66 ,1328.71 ,13823.00 ,7699.50 ,6123.50 ,1200.00 ,700.00 ,3200.00
 ,2021-2022,6058.92 ,1299.71 ,13291.50 ,7403.00 ,5888.00 ,1200.00 ,700.00 ,3200.00 ,29253.00 ,1299.71 ,13291.50 ,7403.00 ,5888.00 ,1200.00 ,700.00 ,3200.00
 ,2020-2021,6058.92 ,1387.14 ,13030.50 ,7258.00 ,5772.50 ,1200.00 ,700.00 ,3200.00 ,27860.00 ,1387.14 ,13030.50 ,7258.00 ,5772.50 ,1200.00 ,700.00 ,3200.00
 ,2019-2020,6058.92 ,1323.79 ,12685.00 ,7080.00 ,5605.00 ,1200.00 ,200.00 ,3200.00 ,25320.00 ,1323.79 ,12685.00 ,7080.00 ,5605.00 ,1200.00 ,200.00 ,3200.00
 ,2018-2019,6732.14 ,1251.18 ,12374.00 ,6874.00 ,5500.00 ,1200.00 ,700.00 ,3200.00 ,24103.62 ,1251.18 ,12374.00 ,6874.00 ,5500.00 ,1200.00 ,700.00 ,3200.00
 ,2017-2018,6536.06 ,1092.13 ,11898.00 ,6698.00 ,5200.00 ,1200.00 ,700.00 ,3200.00 ,22955.84 ,1092.13 ,11898.00 ,6698.00 ,5200.00 ,1200.00 ,700.00 ,3200.00
 ,2016-2017,6345.86 ,1064.01 ,11553.50 ,6503.50 ,5050.00 ,1200.00 ,700.00 ,3200.00 ,21862.70 ,1064.01 ,11553.50 ,6503.50 ,5050.00 ,1200.00 ,700.00 ,3200.00
 ,2013-2014,5835.54 ,1006.29 ,10139.50 ,5824.50 ,4315.00 ,1000.00 ,600.00 ,3000.00 ,21011.70 ,1006.29 ,10139.50 ,5824.50 ,4315.00 ,1000.00 ,600.00 ,3000.00
 ,2011-2012,5448.00 ,922.23 ,8915.00 ,5465.00 ,3450.00 ,1000.00 ,600.00 ,2900.00 ,15699.00 ,922.23 ,8915.00 ,5465.00 ,3450.00 ,1000.00 ,600.00 ,2900.00
York University ,2023-2024, , ,13140.00 ,7747.00 ,4500.00 ,1950.00 ,1200.00 ,4000.00 , , ,13140.00 ,7747.00 ,4500.00 ,1950.00 ,1200.00 ,4000.00
 ,2022-2023,6117.90 ,1297.76 ,11837.00 ,7512.00 ,4325.00 ,1900.00 ,1300.00 ,4000.00 ,32756.10 ,1297.76 ,11837.00 ,7512.00 ,4325.00 ,1900.00 ,1300.00 ,4000.00
 ,2021-2022,6117.90 ,1267.50 ,10262.00 ,7512.00 ,2750.00 ,1200.00 ,1300.00 ,4000.00 ,31496.44 ,1267.50 ,10262.00 ,7512.00 ,2750.00 ,1200.00 ,1300.00 ,4000.00
 ,2020-2021,6117.90 ,919.50 ,10851.00 ,7101.00 ,3750.00 ,1000.00 ,1000.00 ,4000.00 ,31496.40 ,919.50 ,10851.00 ,7101.00 ,3750.00 ,1000.00 ,1000.00 ,4000.00
 ,2019-2020,6117.90 ,1214.00 ,9422.00 ,5922.00 ,3500.00 ,1200.00 ,1000.00 ,4000.00 ,28633.11 ,1214.00 ,9422.00 ,5922.00 ,3500.00 ,1200.00 ,1000.00 ,4000.00
 ,2018-2019,6797.70 ,945.30 ,8963.00 ,5713.00 ,3250.00 ,1000.00 ,800.00 ,2500.00 ,26030.10 ,945.30 ,8963.00 ,5713.00 ,3250.00 ,1000.00 ,800.00 ,2500.00
 ,2017-2018,6600.00 ,924.00 ,8502.00 ,5552.00 ,2950.00 ,1000.00 ,800.00 ,2500.00 ,23664.00 ,924.00 ,8502.00 ,5552.00 ,2950.00 ,1000.00 ,800.00 ,2500.00
 ,2016-2017,6407.00 ,905.00 ,8893.50 ,5356.00 ,3537.50 ,1250.00 ,1000.00 ,2300.00 ,21512.00 ,905.00 ,8893.50 ,5356.00 ,3537.50 ,1250.00 ,1000.00 ,2300.00
 ,2013-2014,6039.60 ,1107.57 ,7.00 ,6.00 ,2.00 ,1.00 ,1000.00 ,2200.00 ,19610.70 ,1107.57 ,6066.50 ,3774.50 ,2250.00 ,750.00 , ,
 ,2012-2013,5863.80 ,1090.09 ,8475.50 ,6485.00 ,3250.00 ,1250.00 ,952.00 ,2200.00 ,18727.20 ,1090.09 ,8475.50 ,6485.00 ,3250.00 ,1250.00 ,952.00 ,2200.00
 ,2011-2012,5693.16 ,1055.93 ,8917.50 ,6255.50 ,3250.00 ,1250.00 ,840.00 ,3000.00 ,17104.04 ,1055.93 ,8917.50 ,6255.50 ,3250.00 ,1250.00 ,840.00 ,3000.00
 ,2009-2010,5214.00 ,988.00 ,7456.00 ,4456.00 ,3000.00 ,1000.00 ,856.00 ,3000.00 ,15614.00 ,988.00 ,7456.00 ,4456.00 ,3000.00 ,1000.00 ,856.00 ,3720.00
