K. Other Useful Information
 , ,Employment Rate (2 Yrs) , , , , , , , , , , , , , , , , , , , , , , , , , , ,Employment Rate (6 Mths)
 , ,Agriculture & Biological Science,Architecture ,Business & Commerce,Computer Science,Dentistry ,Education ,Engineering ,Fine & Applied Arts,Food Science & Nutrition,Forestry ,Humanities ,Journalism ,"Kinesiology, Recreation & Phys. Educ.",Law ,Mathematics ,Medicine & Related Programs,Nursing ,Optometry ,Other Arts & Science,Other Health Professions,Pharmacy ,Physical Science,Social Science,Theology ,Therapy & Rehabilitation,Veterinary Medicine,Overall Average,Agriculture & Biological Science,Architecture ,Business & Commerce,Computer Science,Dentistry ,Education ,Engineering ,Fine & Applied Arts,Food Science & Nutrition,Forestry ,Humanities ,Journalism ,"Kinesiology, Recreation & Phys. Educ.",Law ,Mathematics ,Medicine & Related Programs,Nursing ,Optometry ,Other Arts & Science,Other Health Professions,Pharmacy ,Physical Science,Social Science,Theology ,Therapy & Rehabilitation,Veterinary Medicine,Overall Average
Laurentian University ,2021,85.29 ,76.92 ,95.96 ,100.00 ,,97.73 ,96.15 ,100.00 , ,,91.30 ,,97.30 ,,100.00 , ,98.10 ,,88.89 ,100.00 ,,100.00 ,95.08 ,,100.00 , ,95.19 ,91.18 ,90.91 ,96.94 ,80.00 ,,97.83 ,88.46 ,100.00 , ,,95.45 ,,96.43 ,,100.00 , ,99.08 ,,85.71 ,100.00 ,,100.00 ,92.00 ,,85.71 , ,94.67
 ,2020,94.12 , ,97.52 ,87.50 , ,100.00 ,100.00 ,100.00 , , ,95.45 , ,96.15 , ,*,100.00 ,99.14 , ,100.00 ,100.00 , ,87.50 ,98.05 , ,87.50 , ,97.50 ,80.65 , ,95.04 ,87.50 , ,98.18 ,63.64 ,85.71 , , ,88.37 , ,95.45 , ,*,100.00 ,98.26 , ,100.00 ,80.00 , ,* ,95.21 , ,100.00 , ,92.80
 ,2019,91.18 , ,100.00 ,* , ,100.00 ,89.47 ,100.00 , , ,93.33 , ,100.00 , ,*,100.00 ,98.08 , ,87.50 ,100.00 , ,* ,91.76 , ,* , ,96.36 ,91.18 , ,97.73 ,* , ,93.75 ,82.35 ,100.00 , , ,80.00 , ,100.00 , ,*,100.00 ,97.03 , ,87.50 ,85.71 , ,* ,90.79 , ,* , ,93.57
 ,2018,97.87 , ,95.71 ,* , ,100.00 ,94.74 ,* , , ,83.87 , ,93.10 , ,*,100.00 ,99.07 , ,* ,100.00 , ,* ,95.52 , ,* , ,95.07 ,90.48 , ,98.00 ,* , ,100.00 ,85.00 ,* , , ,100.00 , ,86.21 , ,*,100.00 ,96.43 , ,* ,100.00 , ,* ,94.17 , ,* , ,95.53
 ,2017,97.78 , ,97.17 ,* , ,100.00 ,100.00 ,* , , ,89.66 , ,100.00 , ,*, ,99.00 , ,* ,* , ,* ,98.56 ,*,100.00 , ,97.81 ,90.48 , ,96.70 ,* , ,92.86 ,86.36 ,* , , ,89.29 , ,90.48 , ,*, ,96.97 , ,* ,* , ,* ,94.85 ,*,100.00 , ,94.43
 ,2016,100.00 , ,98.24 ,100.00 , ,100.00 ,100.00 ,100.00 , , ,90.62 , ,100.00 , ,100.00 ,100.00 ,97.87 , ,100.00 ,100.00 , , ,95.16 , ,100.00 , ,97.44 ,93.75 , ,97.69 ,100.00 , ,96.30 ,90.00 ,100.00 , , ,87.10 , ,100.00 , , ,100.00 ,95.74 , ,50.00 ,90.00 , , ,89.57 , ,100.00 , ,94.33
 ,2015,93.33 , ,96.41 ,100.00 , ,98.02 ,100.00 ,100.00 , , ,94.87 , ,96.43 , , ,100.00 ,98.97 , ,66.67 ,100.00 , ,83.33 ,94.52 , ,77.78 , ,96.13 ,93.75 , ,95.32 ,60.00 , ,95.00 ,77.78 ,100.00 , , ,87.18 , ,92.31 , , ,100.00 ,93.81 , ,100.00 ,90.00 , ,100.00 ,88.15 , ,75.00 , ,92.19
 ,2014,96.30 , ,96.51 ,75.00 , ,100.00 ,92.31 ,87.50 , , ,92.65 , ,95.56 , ,100.00 ,100.00 ,99.16 , ,100.00 ,100.00 , ,93.33 ,94.01 , ,100.00 , ,96.05 ,100.00 , ,94.71 ,85.71 , ,96.00 ,85.71 ,100.00 , , ,96.55 , ,87.18 , ,100.00 ,100.00 ,95.93 , ,100.00 ,86.67 , ,100.00 ,88.96 , ,100.00 , ,93.66
 ,2013,94.74 , ,95.83 ,* , ,98.78 ,89.47 ,100.00 , , ,89.06 , ,93.10 , ,100.00 ,100.00 ,99.12 , ,100.00 ,87.50 , ,100.00 ,92.40 , ,* , ,95.03 ,72.22 , ,95.85 ,* , ,96.15 ,84.21 ,85.71 , , ,88.46 , ,96.00 , ,*,100.00 ,98.20 , ,* ,76.47 , ,* ,87.01 , ,* , ,91.88
 ,2012,100.00 , ,98.68 ,* , ,92.86 ,90.91 ,100.00 , , ,95.19 , ,97.06 , ,*,* ,98.48 , ,* ,100.00 , ,100.00 ,97.40 , ,* , ,97.14 ,95.45 , ,97.95 ,* , ,90.00 ,100.00 ,* , , ,90.00 , ,93.55 , ,*,* ,95.52 , ,* ,92.31 , ,90.00 ,92.31 , ,* , ,93.95
 ,2011,87.50 , ,97.18 ,* , ,100.00 ,95.45 ,* , , ,86.15 , ,100.00 , ,*,100.00 ,97.33 , ,* ,100.00 , ,* ,96.15 , ,* , ,95.78 ,85.71 , ,95.17 ,* , ,94.05 ,86.36 ,* , , ,88.33 , ,100.00 , ,*,100.00 ,93.33 , ,* ,90.00 , ,* ,90.52 , ,* , ,92.57
 ,2010,100.00 , ,97.86 ,90.00 , ,96.46 ,100.00 ,100.00 , , ,92.75 , ,96.97 , ,*,100.00 ,100.00 , ,* ,100.00 , ,85.71 ,88.54 , , , ,94.90 ,77.78 , ,96.43 ,90.00 , ,90.43 ,100.00 ,100.00 , , ,88.24 , ,93.33 , ,*,100.00 ,98.40 , ,* ,100.00 , ,83.33 ,90.23 , , , ,92.62
 ,2009,88.80 , ,97.84 ,87.50 , ,95.00 , ,100.00 , , ,86.75 , ,100.00 , ,100.00 , ,100.00 , ,75.00 ,100.00 , ,83.33 ,94.33 , , , ,94.78 ,82.61 , ,97.79 ,87.50 , ,92.93 , ,83.33 , , ,87.01 , ,93.55 , , , ,97.56 , ,66.67 ,100.00 , ,83.33 ,90.16 , , , ,92.09
 ,2008,100.00 , ,94.37 ,100.00 , ,98.44 ,*,* , , ,98.33 , ,95.83 , ,*, ,100.00 , ,100.00 ,100.00 , ,100.00 ,94.50 , , , ,96.93 ,92.86 , ,98.59 ,85.71 , ,96.97 ,*,* , , ,95.92 , ,100.00 , ,*, ,100.00 , ,100.00 ,100.00 , ,* ,95.05 , , , ,96.46
 ,2007,96.15 , ,98.67 ,100.00 , ,100.00 ,*,* , , ,93.10 , ,91.30 , ,*, ,100.00 , ,* ,* , ,71.43 ,94.04 , , , ,95.91 ,95.65 , ,98.67 ,100.00 , ,98.21 ,*,* , , ,97.92 , ,84.21 , ,*, ,97.44 , ,* ,* , ,66.67 ,93.89 , , , ,95.78
 ,2006,78.57 , ,97.62 ,* , ,100.00 ,*, , , ,90.91 , ,84.62 , ,*, ,100.00 , ,* ,* , ,* ,94.68 , , , ,94.72 ,72.73 , ,97.73 ,* , ,100.00 ,*, , , ,85.00 , ,100.00 , ,*, ,100.00 , ,* ,* , , ,89.89 , , , ,93.22
 ,2005,100.00 , ,100.00 ,* , ,100.00 , ,* , , ,100.00 , ,100.00 , , , ,100.00 , ,* ,* , ,* ,96.10 , , , ,98.54 ,81.82 , ,96.97 ,* , ,93.10 , ,* , , ,90.91 , ,100.00 , , , ,100.00 , ,* ,* , , ,93.94 , , , ,94.82
 ,2004,75.00 , ,100.00 ,* , ,100.00 ,*,* , , ,85.70 , ,100.00 , , , ,100.00 , ,100.00 , , ,* ,98.40 , , , ,97.18 ,90.90 , ,100.00 ,* , ,100.00 ,*,* , , ,85.70 , ,100.00 , , , ,100.00 , ,100.00 , , ,* ,88.70 , , , ,94.97
 ,2003,95.00 , ,98.40 ,89.00 , , ,96.20 ,100.00 , , ,93.00 , ,97.00 , ,93.30 ,100.00 ,100.00 , ,83.30 ,87.50 , ,100.00 ,91.40 ,75.00 , , , ,100.00 , ,95.10 ,81.30 , , ,83.00 ,100.00 , , ,85.70 , ,96.60 , ,60.00 ,100.00 ,97.90 , ,66.70 ,100.00 , ,85.70 ,91.20 ,100.00 , , ,
McMaster University ,2021,94.18 ,,95.28 ,100.00 ,,,93.33 ,100.00 , ,,91.00 ,,96.61 ,,88.14 ,100.00 ,98.91 ,,100.00 ,97.60 ,,97.37 ,91.19 ,75.00 , , ,94.45 ,88.41 ,,95.14 ,85.71 ,,,86.99 ,81.82 , ,,90.36 ,,93.88 ,,88.89 ,98.65 ,99.45 ,,100.00 ,98.45 ,,90.63 ,90.30 ,75.00 , , ,92.24
 ,2020,92.99 , ,96.23 ,100.00 , , ,97.04 ,93.75 , , ,93.86 , ,100.00 , ,92.45 ,98.77 ,98.73 , ,94.74 ,96.08 , ,96.88 ,93.21 ,*, , ,95.67 ,78.61 , ,84.88 ,88.89 , , ,82.61 ,92.86 , , ,87.38 , ,97.50 , ,77.78 ,98.73 ,96.94 , ,75.00 ,94.59 , ,85.19 ,83.33 ,*, , ,86.64
 ,2019,90.97 , ,98.16 ,92.86 , , ,94.70 ,81.82 , , ,98.21 , ,100.00 , ,83.87 ,98.59 ,98.54 , ,100.00 ,97.96 , ,96.97 ,94.74 ,*, , ,95.88 ,88.74 , ,96.15 ,92.31 , , ,89.92 ,90.91 , , ,89.32 , ,95.56 , ,85.19 ,100.00 ,97.99 , ,75.00 ,94.39 , ,86.21 ,87.82 ,*, , ,91.94
 ,2018,91.38 , ,93.41 ,94.12 , , ,94.82 ,86.36 , , ,86.26 , ,91.84 , ,94.29 ,100.00 ,98.90 , ,100.00 ,93.81 , ,90.91 ,90.87 ,100.00 , , ,93.32 ,89.24 , ,93.75 ,82.35 , , ,89.80 ,83.33 , , ,89.08 , ,92.59 , ,90.32 ,100.00 ,94.51 , ,95.83 ,94.50 , ,96.00 ,93.10 ,100.00 , , ,92.30
 ,2017,94.34 , ,97.86 ,100.00 , , ,96.15 ,92.31 , , ,94.69 , ,88.24 , ,100.00 ,100.00 ,99.09 , ,92.31 ,95.96 , ,100.00 ,94.46 ,100.00 , , ,96.23 ,86.96 , ,93.65 ,94.44 , , ,90.46 ,100.00 , , ,81.44 , ,95.92 , ,95.45 ,100.00 ,95.48 , ,93.75 ,90.65 , ,91.18 ,88.49 ,100.00 , , ,91.18
 ,2016,93.66 , ,95.30 ,100.00 , , ,96.06 ,90.00 , , ,93.29 , ,92.86 , ,100.00 ,98.61 ,97.09 , ,100.00 ,96.40 , ,100.00 ,93.73 ,100.00 , , ,95.27 ,81.48 , ,92.36 ,87.50 , , ,86.56 ,90.00 , , ,89.60 , ,92.00 , ,70.83 ,98.48 ,95.45 , ,100.00 ,88.39 , ,100.00 ,85.71 ,75.00 , , ,88.77
 ,2015,92.86 , ,96.82 ,100.00 , , ,91.64 ,92.59 , , ,93.29 , ,91.38 , ,100.00 ,98.97 ,98.90 , ,94.12 ,99.04 , ,91.89 ,93.17 ,90.00 , , ,94.50 ,79.09 , ,92.50 ,95.00 , , ,87.09 ,81.48 , , ,90.08 , ,100.00 , ,100.00 ,97.83 ,91.48 , ,93.33 ,91.26 , ,94.29 ,89.77 ,82.35 , , ,89.34
 ,2014,86.73 , ,97.50 ,90.00 , , ,94.56 ,88.89 , , ,91.11 , ,93.22 , ,96.30 ,100.00 ,98.82 , ,90.70 ,98.91 , ,93.10 ,91.14 ,100.00 , , ,93.90 ,84.21 , ,92.11 ,100.00 , , ,88.07 ,88.89 , , ,93.96 , ,94.34 , ,90.91 ,97.22 ,93.64 , ,81.61 ,93.75 , ,75.86 ,87.27 ,100.00 , , ,89.86
 ,2013,90.08 , ,95.78 ,100.00 , , ,93.50 ,86.36 , , ,94.35 , ,88.57 , ,96.67 ,100.00 ,98.36 , ,89.01 ,94.23 , ,100.00 ,95.43 ,100.00 , , ,94.51 ,80.91 , ,91.36 ,100.00 , , ,84.56 ,89.47 , , ,92.90 , ,96.55 , ,77.27 ,98.55 ,91.71 , ,79.17 ,91.82 , ,85.19 ,88.72 ,100.00 , , ,88.81
 ,2012,92.86 , ,98.62 ,* , , ,96.51 ,95.65 , , ,92.00 , ,93.75 , ,88.24 ,100.00 ,97.40 , ,92.98 ,95.83 , ,88.89 ,92.23 ,95.65 , , ,94.81 ,88.54 , ,89.93 ,* , , ,90.32 ,100.00 , , ,86.67 , ,95.00 , ,90.00 ,100.00 ,96.79 , ,89.47 ,89.74 , ,86.67 ,86.75 ,90.48 , , ,90.36
 ,2011,86.08 , ,94.01 ,* , , ,95.70 ,88.89 , , ,89.26 , ,86.84 , ,91.67 ,98.25 ,98.15 , ,89.58 ,97.44 , ,90.91 ,88.70 ,88.89 , , ,92.68 ,83.82 , ,88.61 ,* , , ,86.18 ,86.67 , , ,88.10 , ,100.00 , ,90.00 ,100.00 ,96.82 , ,81.82 ,91.36 , ,91.30 ,89.62 ,91.30 , , ,89.90
 ,2010,80.95 , ,94.12 ,100.00 , , ,92.17 ,94.44 , , ,91.82 , ,86.76 , ,85.00 ,98.21 ,97.89 , ,92.16 ,95.65 , ,76.00 ,92.78 ,100.00 , , ,92.26 ,84.15 , ,93.08 ,* , , ,82.19 ,85.71 , , ,91.60 , ,91.94 , ,81.25 ,100.00 ,92.25 , ,87.04 ,92.41 , ,91.67 ,88.05 ,84.21 , , ,88.98
 ,2009,88.10 , ,95.52 ,100.00 , , ,92.68 ,88.00 , , ,92.16 , ,95.92 , ,84.62 ,100.00 ,99.31 , ,85.29 ,96.61 , ,92.86 ,89.70 ,100.00 , , ,92.80 ,79.27 , ,88.71 ,* , , ,82.05 ,72.73 , , ,90.55 , ,90.24 , ,87.50 ,100.00 ,96.58 , ,79.66 ,94.83 , ,90.91 ,87.45 ,94.74 , , ,87.88
 ,2008,88.24 , ,93.91 ,* , , ,93.84 ,96.00 , , ,92.92 , ,92.86 , ,100.00 , ,99.00 , ,89.29 ,98.08 , ,92.31 ,89.23 ,*, , ,93.17 ,83.61 , ,92.11 ,* , , ,91.55 ,95.00 , , ,91.40 , ,94.44 , ,*, ,99.04 , ,96.30 ,96.00 , ,100.00 ,90.91 ,100.00 , , ,92.39
 ,2007,93.85 , ,97.09 ,* , , ,94.53 ,100.00 , , ,92.31 , ,100.00 , ,100.00 , ,100.00 , ,92.31 ,100.00 , ,100.00 ,93.68 ,*, , ,95.42 ,88.24 , ,95.15 ,* , , ,87.39 ,76.92 , , ,92.96 , ,97.37 , ,100.00 , ,98.25 , ,88.89 ,100.00 , ,100.00 ,91.52 ,*, , ,92.65
 ,2006,95.12 , ,98.72 ,* , , ,94.74 ,100.00 , , ,95.18 , ,100.00 , ,100.00 ,100.00 ,100.00 , ,100.00 ,100.00 , ,85.71 ,94.52 ,100.00 , , ,96.74 ,86.11 , ,96.20 ,* , , ,92.05 ,100.00 , , ,95.16 , ,88.89 , ,81.82 ,100.00 ,100.00 , ,93.75 ,100.00 , ,* ,90.77 ,*, , ,93.66
 ,2005,90.63 , ,96.55 ,100.00 , , ,94.57 ,100.00 , , ,96.83 , ,100.00 , ,100.00 ,100.00 ,100.00 , ,91.67 ,100.00 , ,100.00 ,94.35 ,100.00 , , ,96.42 ,92.59 , ,96.43 ,87.50 , , ,89.01 ,* , , ,94.23 , ,100.00 , ,*,100.00 ,98.48 , ,87.50 ,100.00 , ,75.00 ,96.23 ,*, , ,94.69
 ,2004,96.80 , ,94.70 ,* , , ,96.00 ,100.00 , , ,91.50 , ,93.30 , ,100.00 ,100.00 ,100.00 , ,* ,100.00 , ,* ,96.50 ,*, , ,95.84 ,100.00 , ,91.10 ,* , , ,87.00 ,77.80 , , ,87.20 , ,90.90 , ,85.70 ,100.00 ,97.80 , ,100.00 ,100.00 , ,* ,90.90 ,*, , ,90.65
Nipissing University ,2021,94.12 ,,98.39 ,100.00 ,,99.12 ,,100.00 , ,,100.00 ,,96.15 ,,100.00 , ,98.31 ,,100.00 , ,, ,98.92 ,, , ,98.50 ,93.33 ,,95.08 ,100.00 ,,96.49 ,,100.00 , ,,95.24 ,,100.00 ,,100.00 , ,99.15 ,,100.00 , ,, ,94.62 ,, , ,96.78
 ,2020,100.00 , ,96.72 ,* , ,98.63 , ,* , , ,100.00 , ,100.00 , ,*, ,98.37 , ,* , , , ,93.48 , , , ,96.95 ,100.00 , ,91.94 ,* , ,100.00 , ,* , , ,80.00 , ,100.00 , ,*, ,97.60 , ,* , , , ,94.05 , , , ,95.99
 ,2019,100.00 , ,93.94 ,* , ,98.67 , ,* , , ,96.15 , ,100.00 , ,*, ,100.00 , ,* , , , ,97.37 , , , ,97.92 ,69.23 , ,96.97 ,* , ,98.68 , ,* , , ,95.83 , ,100.00 , ,*, ,97.22 , ,* , , , ,97.30 , , , ,96.57
 ,2018,83.33 , ,91.80 ,100.00 , ,100.00 , ,100.00 , , ,100.00 , ,95.65 , ,66.67 , ,98.90 , ,100.00 , , , ,96.55 , , , ,96.80 ,77.78 , ,93.65 ,100.00 , ,100.00 , ,100.00 , , ,100.00 , ,95.45 , ,75.00 , ,98.91 , ,100.00 , , , ,89.09 , , , ,95.98
 ,2017,100.00 , ,96.88 , , ,96.67 , ,100.00 , , ,95.65 , ,100.00 , ,100.00 , ,98.97 , ,100.00 , , , ,97.17 , , , ,97.54 ,81.82 , ,98.44 , , ,94.02 , ,100.00 , , ,100.00 , ,93.75 , ,83.33 , ,98.94 , ,100.00 , , , ,96.08 , , , ,96.05
 ,2016,100.00 , ,97.44 ,100.00 , ,93.65 , ,100.00 , , ,96.55 , ,94.44 , ,100.00 , ,97.06 , ,100.00 , , , ,92.38 , , , ,95.24 ,75.00 , ,96.00 ,75.00 , ,95.24 , ,100.00 , , ,96.43 , ,86.67 , ,100.00 , ,92.31 , ,100.00 , , , ,93.20 , , , ,93.70
 ,2015,100.00 , ,98.78 , , ,97.03 , ,66.67 , , ,92.11 , ,100.00 , ,77.78 , ,100.00 , ,100.00 , , , ,97.92 , , , ,97.05 ,86.67 , ,91.46 , , ,91.86 , ,66.67 , , ,94.74 , ,90.91 , ,100.00 , ,95.74 , ,100.00 , , , ,91.76 , , , ,92.17
 ,2014,75.00 , ,94.06 ,100.00 , ,95.25 , ,100.00 , , ,93.33 , ,93.94 , ,80.00 , ,100.00 , ,90.00 , , , ,94.44 , , , ,94.68 ,69.23 , ,85.00 ,100.00 , ,91.17 , ,100.00 , , ,95.24 , ,96.30 , ,100.00 , ,94.23 , ,88.89 , , , ,86.46 , , , ,89.84
 ,2013,100.00 , ,94.62 ,* , ,96.61 , ,75.00 , , ,94.12 , ,100.00 , ,*, ,96.36 , ,88.24 , , , ,94.74 , , , ,95.71 ,* , ,90.11 ,* , ,91.13 , ,75.00 , , ,89.47 , ,96.30 , ,*, ,85.19 , ,93.33 , , , ,95.56 , , , ,90.84
 ,2012,100.00 , ,96.00 ,* , ,96.99 , ,100.00 , , ,90.91 , ,96.77 , ,*, ,100.00 , ,* , , , ,91.06 , , , ,95.87 ,93.75 , ,87.63 ,* , ,92.65 , ,100.00 , , ,90.20 , ,100.00 , ,100.00 , ,96.08 , ,* , , , ,86.14 , , , ,91.75
 ,2011,* , ,94.37 ,* , ,93.23 , ,* , , ,92.31 , ,95.65 , ,*, ,100.00 , ,89.29 , , , ,93.44 , , , ,93.45 ,* , ,89.71 ,* , ,88.05 , ,* , , ,83.72 , ,95.45 , ,*, ,100.00 , ,95.65 , , , ,87.04 , , , ,89.09
 ,2010,100.00 , ,96.72 , , ,91.53 , ,* , , ,89.19 , , , ,*, ,100.00 , ,93.75 , , , ,92.96 , , , ,92.77 ,* , ,88.52 , , ,83.39 , ,* , , ,96.43 , , , ,*, ,100.00 , ,93.33 , , , ,91.53 , , , ,86.86
 ,2009,92.31 , ,96.97 ,* , ,95.98 , ,* , , ,88.89 , , , , , ,100.00 , ,75.00 , , , ,89.33 , , , ,93.73 ,83.33 , ,93.94 ,* , ,87.74 , ,71.43 , , ,81.58 , , , , , ,100.00 , ,84.62 , , , ,90.00 , , , ,87.93
 ,2008,* , ,100.00 , , ,96.45 , ,* , , ,93.75 , , , ,*, ,100.00 , ,90.48 , , , ,95.00 , , , ,96.01 ,* , ,90.00 , , ,95.34 , ,* , , ,90.91 , , , ,*, ,100.00 , ,77.27 , , , ,86.54 , , , ,91.32
 ,2007,100.00 , ,100.00 ,100.00 , ,98.08 , ,* , , ,94.00 , , , ,100.00 , ,*, ,95.65 , , , ,94.29 , , , ,96.98 ,88.89 , ,96.30 ,* , ,98.08 , ,* , , ,96.97 , , , ,100.00 , ,*, ,94.74 , , , ,92.86 , , , ,96.94
 ,2006,* , ,92.86 , , ,97.20 , ,* , , ,96.67 , , , , , ,*, ,100.00 , , , ,96.49 , , , ,96.28 ,* , ,100.00 , , ,96.60 , ,* , , ,100.00 , , , , , ,*, ,100.00 , , , ,88.10 , , , ,95.87
 ,2005,* , ,100.00 ,* , ,97.44 , , , , ,95.00 , , , ,*, ,*, ,90.00 , , , ,100.00 , , , ,97.60 ,* , ,93.75 ,* , ,94.74 , ,* , , ,82.35 , , , ,*, ,*, ,85.71 , , , ,92.31 , , , ,93.09
 ,2004,* , ,88.90 ,* , ,97.90 , ,* , , ,100.00 , , , ,*, , , ,100.00 , , , ,95.40 , , , ,97.50 ,* , ,87.50 ,* , ,95.10 , ,* , , ,90.90 , , , ,*, , , ,100.00 , , , ,93.80 , , , ,94.31
OCAD University ,2021, ,, , ,,,,83.92 , ,,,, ,,, ,,, , ,, , ,, , ,83.92 , ,, , ,,,,70.85 , ,,,, ,,, ,,, , ,, , ,, , ,70.85
 ,2020, , , , , , , ,89.89 , , , , , , , , , , , , , , , , , , ,89.89 , , , , , , , ,65.02 , , , , , , , , , , , , , , , , , , ,65.02
 ,2019, , , , , , , ,85.46 , , , , , , , , , , , , , , , , , , ,85.46 , , , , , , , ,77.88 , , , , , , , , , , , , , , , , , , ,77.88
 ,2018, , , , , , , ,84.42 , , , , , , , , , , , , , , , , , , ,84.42 , , , , , , , ,79.65 , , , , , , , , , , , , , , , , , , ,79.65
 ,2017, , , , , , , ,91.60 , , , , , , , , , , , , , , , , , , ,91.60 , , , , , , , ,84.44 , , , , , , , , , , , , , , , , , , ,84.44
 ,2016, , , , , , , ,90.38 , , , , , , , , , , , , , , , , , , ,90.38 , , , , , , , ,78.95 , , , , , , , , , , , , , , , , , , ,78.95
 ,2015, , , , , , , ,93.42 , , , , , , , , , , , , , , , , , , ,93.42 , , , , , , , ,81.61 , , , , , , , , , , , , , , , , , , ,81.61
 ,2014, , , , , , , ,93.07 , , , , , , , , , , , , , , , , , , ,93.07 , , , , , , , ,85.54 , , , , , , , , , , , , , , , , , , ,85.54
 ,2013, , , , , , , ,91.12 , , , , , , , , , , , , , , , , , , ,91.12 , , , , , , , ,78.88 , , , , , , , , , , , , , , , , , , ,78.88
 ,2012, , , , , , , ,89.74 , , , , , , , , , , , , , , , , , , ,89.74 , , , , , , , ,79.17 , , , , , , , , , , , , , , , , , , ,79.17
 ,2011, , , , , , , ,88.00 , , , , , , , , , , , , , , , , , , ,88.00 , , , , , , , ,82.35 , , , , , , , , , , , , , , , , , , ,82.35
 ,2010, , , , , , , ,91.67 , , , , , , , , , , , , , , , , , , ,91.67 , , , , , , , ,81.95 , , , , , , , , , , , , , , , , , , ,81.95
 ,2009, , , , , , , ,91.00 , , , , , , , , , , , , , , , , , , ,91.00 , , , , , , , ,75.24 , , , , , , , , , , , , , , , , , , ,75.24
 ,2008, , , , , , , ,90.38 , , , , , , , , , , , , , , , , , , ,90.38 , , , , , , , ,86.24 , , , , , , , , , , , , , , , , , , ,86.24
 ,2007, , , , , , , ,91.20 , , , , , , , , , , , , , , , , , , ,91.20 , , , , , , , ,93.89 , , , , , , , , , , , , , , , , , , ,93.89
 ,2006, , , , , , , ,93.50 , , , , , , , , , , , , , , , , , , ,93.48 , , , , , , , ,95.70 , , , , , , , , , , , , , , , , , , ,95.74
 ,2005, , , , , , , ,98.10 , , , , , , , , , , , , , , , , , , ,98.11 , , , , , , , ,88.70 , , , , , , , , , , , , , , , , , , ,88.68
 ,2004, , , , , , , ,97.00 , , , , , , , , , , , , , , , , , , ,96.97 , , , , , , , ,90.30 , , , , , , , , , , , , , , , , , , ,90.32
Ontario Tech University ,2021,84.62 ,,92.59 ,91.78 ,,97.17 ,93.15 , , ,,77.78 ,,94.59 ,,100.00 , ,98.99 ,, ,91.07 ,,100.00 ,94.59 ,, , ,93.79 ,73.91 ,,91.82 ,87.67 ,,92.16 ,86.71 , , ,,88.89 ,,83.33 ,,100.00 , ,97.00 ,, ,90.20 ,,88.89 ,85.29 ,, , ,89.19
 ,2020,89.47 , ,97.48 ,91.84 , ,98.67 ,90.97 , , , ,90.48 , , , ,*, ,97.33 , , ,97.50 , ,100.00 ,91.56 , , , ,94.55 ,72.22 , ,88.43 ,66.00 , ,91.67 ,76.47 , , , ,84.21 , , , ,*, ,91.78 , , ,89.74 , ,* ,85.52 , , , ,84.47
 ,2019,80.77 , ,92.23 ,93.18 , ,98.36 ,88.14 , , , ,88.00 , , , ,*, ,98.72 , , ,98.23 , ,91.67 ,92.00 , , , ,93.21 ,77.27 , ,89.00 ,81.40 , ,95.08 ,75.21 , , , ,78.26 , , , ,*, ,93.59 , , ,93.86 , ,76.92 ,87.90 , , , ,86.94
 ,2018,93.10 , ,92.78 ,86.11 , ,96.55 ,90.52 , , , ,90.91 , , , ,100.00 , ,98.82 , , ,93.00 , ,93.75 ,87.10 , , , ,92.12 ,89.66 , ,92.23 ,86.11 , ,96.43 ,76.72 , , , ,88.89 , , , ,100.00 , ,97.62 , , ,87.16 , ,78.57 ,84.92 , , , ,87.70
 ,2017,90.00 , ,91.75 ,97.14 , ,96.92 ,94.34 , , , ,87.50 , , , , , ,98.92 , , ,94.68 , ,100.00 ,94.55 , , , ,94.79 ,75.00 , ,85.57 ,86.49 , ,87.50 ,76.19 , , , ,86.67 , , , , , ,89.25 , , ,88.37 , ,100.00 ,88.46 , , , ,85.44
 ,2016,93.75 , ,91.03 ,91.89 , ,100.00 ,89.89 , , , ,100.00 , , , ,83.33 , ,97.26 , , ,91.67 , ,71.43 ,91.67 , , , ,92.21 ,82.14 , ,79.75 ,64.10 , ,100.00 ,84.15 , , , ,58.33 , , , ,80.00 , ,84.93 , , ,79.07 , ,100.00 ,83.90 , , , ,81.25
 ,2015,94.59 , ,91.74 ,92.59 , ,97.44 ,94.79 , , , ,80.00 , , , ,87.50 , ,98.80 , , ,97.73 , ,100.00 ,89.63 , , , ,94.15 ,75.68 , ,79.63 ,88.24 , ,86.73 ,83.33 , , , ,85.71 , , , ,100.00 , ,95.18 , , ,83.33 , ,100.00 ,80.95 , , , ,84.64
 ,2014,90.91 , ,92.68 ,94.74 , ,94.96 ,95.73 , , , ,100.00 , , , ,83.33 , ,100.00 , , ,93.33 , ,100.00 ,90.48 , , , ,94.33 ,87.10 , ,82.50 ,84.62 , ,90.76 ,82.46 , , , ,90.00 , , , ,75.00 , ,88.30 , , ,79.73 , ,100.00 ,80.83 , , , ,84.64
 ,2013,90.91 , ,91.51 ,93.62 , ,95.45 ,90.29 , , , ,89.47 , , , ,*, ,100.00 , , ,92.41 , ,87.50 ,90.72 , , , ,92.89 ,88.89 , ,82.24 ,91.30 , ,91.89 ,78.35 , , , ,88.57 , , , ,*, ,92.11 , , ,85.14 , ,75.00 ,80.22 , , , ,85.59
