K. Other Useful Information
 , ,Employment Rate (2 Yrs) , , , , , , , , , , , , , , , , , , , , , , , , , , ,Employment Rate (6 Mths)
 , ,Agriculture & Biological Science,Architecture ,Business & Commerce,Computer Science,Dentistry ,Education ,Engineering ,Fine & Applied Arts,Food Science & Nutrition,Forestry ,Humanities ,Journalism ,"Kinesiology, Recreation & Phys. Educ.",Law ,Mathematics ,Medicine & Related Programs,Nursing ,Optometry ,Other Arts & Science,Other Health Professions,Pharmacy ,Physical Science,Social Science,Theology ,Therapy & Rehabilitation,Veterinary Medicine,Overall Average,Agriculture & Biological Science,Architecture ,Business & Commerce,Computer Science,Dentistry ,Education ,Engineering ,Fine & Applied Arts,Food Science & Nutrition,Forestry ,Humanities ,Journalism ,"Kinesiology, Recreation & Phys. Educ.",Law ,Mathematics ,Medicine & Related Programs,Nursing ,Optometry ,Other Arts & Science,Other Health Professions,Pharmacy ,Physical Science,Social Science,Theology ,Therapy & Rehabilitation,Veterinary Medicine,Overall Average
 ,2009,85.00 , ,95.88 ,* , ,96.60 , ,92.31 , , ,88.46 , ,93.51 , ,*, ,100.00 , ,100.00 ,89.47 , ,83.33 ,91.39 , , , ,93.25 ,88.24 , ,88.30 ,* , ,92.96 , ,95.65 , , ,88.89 , ,97.18 , ,*, ,100.00 , ,94.12 ,75.00 , ,83.33 ,91.73 , , , ,91.86
 ,2008,92.00 , ,95.16 ,100.00 , ,96.13 , ,94.87 , , ,91.87 , ,95.31 , ,87.50 , ,100.00 , , ,82.35 , ,100.00 ,92.57 , , , ,94.08 ,76.92 , ,93.44 ,88.89 , ,92.76 , ,96.88 , , ,97.22 , ,95.58 , ,*, ,94.12 , , ,69.23 , ,100.00 ,91.67 , , , ,92.92
 ,2007,100.00 , ,94.07 ,92.31 , ,98.06 , ,90.32 , , ,93.20 , ,97.33 , ,90.00 , ,100.00 , , ,100.00 , ,* ,92.97 , , , ,95.25 ,88.24 , ,94.74 ,92.31 , ,94.74 , ,88.46 , , ,93.90 , ,92.37 , ,100.00 , ,100.00 , , ,88.89 , ,* ,91.81 , , , ,93.22
 ,2006,* , ,97.50 ,66.70 , ,95.80 , ,95.70 , , ,90.10 , ,97.10 , ,100.00 , ,100.00 , , ,100.00 , ,100.00 ,95.70 , , , ,95.40 ,* , ,92.10 ,77.80 , ,94.30 , ,81.80 , , ,90.90 , ,91.50 , ,*, ,100.00 , , ,87.50 , ,100.00 ,95.70 , , , ,92.40
 ,2005,85.70 , ,96.40 ,100.00 , ,98.40 , ,100.00 , , ,95.20 , ,100.00 , ,*, ,100.00 , ,88.90 ,100.00 , ,* ,95.50 , , , ,97.49 ,100.00 , ,93.80 ,100.00 , ,96.30 , ,87.50 , , ,100.00 , ,95.90 , ,*, ,100.00 , ,100.00 ,87.50 , ,* ,96.20 , , , ,96.13
 ,2004,100.00 , ,96.80 ,75.00 , ,95.50 , ,100.00 , , ,96.30 , ,89.90 , ,*, ,100.00 , ,87.50 ,100.00 , , ,96.90 , , , ,96.17 ,92.30 , ,94.90 ,75.00 , ,98.30 , ,100.00 , , ,93.90 , ,93.30 , ,*, ,100.00 , ,85.70 ,92.90 , ,* ,95.60 , , , ,94.50
Carleton University ,2021,89.09 ,89.47 ,96.15 ,89.69 ,,,93.87 ,96.30 , ,,91.55 ,100.00 , ,,100.00 , ,,,95.29 ,100.00 ,,93.33 ,92.96 ,, , ,93.35 ,90.00 ,95.45 ,91.47 ,87.50 ,,,83.73 ,96.43 , ,,85.11 ,80.95 , ,,88.46 , ,,,83.54 ,91.30 ,,91.67 ,90.14 ,, , ,88.36
 ,2020,93.02 ,93.10 ,99.21 ,97.25 , , ,94.55 ,95.00 , , ,92.81 ,97.06 , , ,100.00 , , , ,91.25 , , ,87.10 ,95.27 , , , ,94.94 ,81.40 ,92.86 ,93.70 ,88.68 , , ,78.17 ,63.16 , , ,84.89 ,85.29 , , ,78.95 , , , ,79.01 , , ,82.14 ,89.38 , , , ,85.94
 ,2019,93.33 ,88.24 ,99.19 ,96.25 , , ,93.70 ,100.00 , , ,90.45 ,96.88 , , ,91.30 , , , ,92.05 , , ,100.00 ,94.39 , , , ,94.33 ,84.78 ,88.89 ,96.00 ,90.12 , , ,85.41 ,100.00 , , ,89.54 ,93.75 , , ,85.71 , , , ,86.90 , , ,75.00 ,91.52 , , , ,89.82
 ,2018,91.49 ,94.74 ,94.59 ,95.74 , , ,95.90 ,93.10 , , ,87.23 ,94.74 , , ,100.00 , , , ,93.65 , , ,94.44 ,93.01 , , , ,93.30 ,82.22 ,87.50 ,92.47 ,87.76 , , ,88.17 ,89.29 , , ,89.93 ,97.44 , , ,92.31 , , , ,88.89 , , ,70.00 ,91.93 , , , ,90.32
